id,來源,統計月份,日期,台北業績,台北佔比,台中業績,台中佔比,桃園業績,桃園佔比,新竹業績,新竹佔比,高雄業績,高雄佔比,全區合計
20260504120350_本月,schedule,2026/05,2026/05/04 12:03,2228800,0.6265496477626038,234400,0.0658934123454569,831200,0.2336629878052208,235550,0.0662166948718957,27310,0.0076772572148226,3557260
20260504010921,schedule,,2026/05/04 01:09,2196600,0.6312504310642113,234400,0.0673609674230406,783500,0.2251592063820493,237950,0.0683811527231763,27310,0.0078482424075223,3479760
20260503190536,schedule,,2026/05/03 19:05,2196600,0.6319041701187518,234400,0.0674307281598085,781100,0.2247019699898738,237950,0.0684519699898738,26110,0.0075111617416919,3476160
20260503120642,schedule,,2026/05/03 12:06,2197200,0.6319676940599869,234400,0.0674190913379123,781100,0.2246631921674202,237950,0.0684401569277143,26110,0.0075098655069662,3476760
20260503010745,schedule,,2026/05/03 01:07,2196000,0.631840624244726,234400,0.0674423689995281,781100,0.2247407612010726,237950,0.068463787130707,26110,0.0075124584239662,3475560
20260502190406,schedule,,2026/05/02 19:04,2196000,0.6324083353492069,231600,0.066696616788195,781100,0.2249426915943832,237950,0.0685253020930527,25790,0.0074270541751621,3472440
20260502114622,schedule,,2026/05/02 11:46,2188200,0.631580770296481,231600,0.0668467719589914,781100,0.2254491087097072,237950,0.0686795742126166,25790,0.0074437748222037,3464640
20260502011447,schedule,,2026/05/02 01:14,2192000,0.63198440797592,231600,0.0667735350762879,781100,0.2252021081523682,237950,0.0686043293238458,25790,0.007435619471578,3468440
20260501192035,schedule,,2026/05/01 19:20,2187200,0.6314744026515458,231600,0.0668660715316834,781100,0.2255141989352242,237950,0.0686994029402593,25790,0.0074459239412872,3463640
20260501121218,schedule,,2026/05/01 12:12,2166000,0.6300834293294236,226800,0.0659754948162111,781100,0.2272198368648258,237950,0.0692189990807647,25790,0.0075022399087746,3437640
20260501014635,schedule,,2026/05/01 01:46,2164800,0.633493696667486,222000,0.0649647083611335,770300,0.2254158326602755,234350,0.0685787360559984,25790,0.0075470262551064,3417240
20260510011411_本月,schedule,2026/05,2026/05/10 01:14:11,2663350,0.6422740700548623,261000,0.06294085729788389,928800,0.22398263700488336,260150,0.06273587749442334,33450,0.008066558147947187,4146750
20260509191021_本月,schedule,2026/05,2026/05/09 19:10:21,2657350,0.6417557205820201,261000,0.0630320594095272,928800,0.2243071907263177,260150,0.0628267825876954,33450,0.0080782466944394,4140750
20260509115142_本月,schedule,2026/05,2026/05/09 11:51:42,2654950,0.642292944321467,256200,0.061980621983525,928800,0.2246978989004608,260150,0.0629362170531383,33450,0.0080923177414087,4133550
20260509014515_本月,schedule,2026/05,2026/05/09 01:45:15,2654950,0.6428528190413928,256200,0.062034649329895,925200,0.2240220825917989,260150,0.062991077373818,33450,0.0080993716630951,4129950
20260508194314_本月,schedule,2026/05,2026/05/08 19:43:14,2646550,0.6421249287282697,256200,0.0621610801761473,925200,0.2244786548749863,260150,0.0631194574856546,33450,0.0081158787349419,4121550
20260508115010_本月,schedule,2026/05,2026/05/08 11:50:10,2600400,0.6413456321215409,256200,0.0631874907512455,911600,0.2248310560844472,252950,0.0623859320278202,33450,0.0082498890149459,4054600
20260508015907_本月,schedule,2026/05,2026/05/08 01:59:07,2577000,0.6403757268525421,249000,0.0618756523035634,911800,0.2265791958650166,252950,0.0628572138561701,33450,0.0083122111227076,4024200
20260507200234_本月,schedule,2026/05,2026/05/07 20:02:34,2574200,0.6425861208187719,249000,0.0621567648527209,902400,0.2252621068397403,246950,0.061645032451323,33450,0.0083499750374438,4006000
20260507115942_本月,schedule,2026/05,2026/05/07 11:59:42,2524400,0.6458495900118967,241800,0.0618627915009018,869400,0.222429739168255,242750,0.0621058421705704,30300,0.007752037148376,3908650
20260507015319_本月,schedule,2026/05,2026/05/07 01:53:19,2499200,0.644414362147876,239400,0.0617288725584993,866600,0.2234512989105911,242750,0.0625926642171082,30300,0.0078128021659253,3878250
20260506200347_本月,schedule,2026/05,2026/05/06 20:03:47,2495600,0.6455167418941814,239400,0.0619236688609821,858000,0.2219319460431189,242750,0.062790186365929,30300,0.0078374568357884,3866050
20260506120005884246_本月,schedule,2026/05,2026/05/06 12:00:05,2441400,0.6431235775099048,235800,0.0621154008260979,848900,0.2236207114557869,242750,0.0639461982635083,27310,0.007194111944702,3796160
20260506015129022273_本月,schedule,2026/05,2026/05/06 01:51:29,2455200,0.6448224059502674,235800,0.0619294246183907,846500,0.2223208564014749,242750,0.0637547405687632,27310,0.0071725724611036,3807560
20260505193721079193_本月,schedule,2026/05,2026/05/05 19:37:21,2451000,0.6456524487903565,233400,0.0614831830059849,841700,0.221724057995448,242750,0.0639461982635083,27310,0.007194111944702,3796160
20260505114529260455_本月,schedule,2026/05,2026/05/05 11:45:29,2335200,0.6309884729495306,238200,0.0643634182325189,857400,0.2316758807412331,242750,0.0655928621995968,27310,0.0073793658771204,3700860
20260505015238616622_本月,schedule,2026/05,2026/05/05 01:52:38,2315400,0.6290036022232727,236800,0.0643292964526522,858800,0.2333023639929803,242750,0.0659456786903772,27310,0.0074190586407176,3681060
