城市,類別,收入類型,本月加總,次月加總,加總類型
台北,清潔,儲值金,1237800,1176980,加總1
台北,清潔,現金收入,1898900,809520,加總1
台北,冷氣,儲值金,0,0,加總1
台北,冷氣,現金收入,0,0,加總1
台北,洗衣機,儲值金,0,0,加總1
台北,洗衣機,現金收入,0,0,加總1
台北,水洗,儲值金,4600,0,加總1
台北,水洗,現金收入,20400,0,加總1
台北,收納,儲值金,0,0,加總1
台北,收納,現金收入,0,0,加總1
台北,儲值金,儲值金,0,0,加總1
台北,儲值金,現金收入,1390000,0,加總1
台北,清潔現金+儲值金,現金+儲值金,3136700,1986500,加總2
台北,家電現金+儲值金,現金+儲值金,0,0,加總2
台北,水洗/收納現金+儲值金,現金+儲值金,25000,0,加總2
台北,家電現金+儲值金,現金+儲值金,0,0,加總3
台北,清潔+水洗+收納現金+儲值金,現金+儲值金,3161700,1986500,加總3
台中,清潔,儲值金,145300,108000,加總1
台中,清潔,現金收入,201500,40200,加總1
台中,冷氣,儲值金,0,0,加總1
台中,冷氣,現金收入,0,0,加總1
台中,洗衣機,儲值金,0,0,加總1
台中,洗衣機,現金收入,0,0,加總1
台中,水洗,儲值金,0,0,加總1
台中,水洗,現金收入,0,0,加總1
台中,收納,儲值金,0,0,加總1
台中,收納,現金收入,0,0,加總1
台中,儲值金,儲值金,0,0,加總1
台中,儲值金,現金收入,160000,0,加總1
台中,清潔現金+儲值金,現金+儲值金,346800,148200,加總2
台中,家電現金+儲值金,現金+儲值金,0,0,加總2
台中,水洗/收納現金+儲值金,現金+儲值金,0,0,加總2
台中,家電現金+儲值金,現金+儲值金,0,0,加總3
台中,清潔+水洗+收納現金+儲值金,現金+儲值金,346800,148200,加總3
桃園,清潔,儲值金,404000,329400,加總1
桃園,清潔,現金收入,650627,235689,加總1
桃園,冷氣,儲值金,0,0,加總1
桃園,冷氣,現金收入,202750,31500,加總1
桃園,洗衣機,儲值金,6001,0,加總1
桃園,洗衣機,現金收入,50000,2000,加總1
桃園,水洗,儲值金,0,0,加總1
桃園,水洗,現金收入,37000,0,加總1
桃園,收納,儲值金,0,0,加總1
桃園,收納,現金收入,0,0,加總1
桃園,儲值金,儲值金,0,0,加總1
桃園,儲值金,現金收入,180000,0,加總1
桃園,清潔現金+儲值金,現金+儲值金,1054627,565089,加總2
桃園,家電現金+儲值金,現金+儲值金,258751,33500,加總2
桃園,水洗/收納現金+儲值金,現金+儲值金,37000,0,加總2
桃園,家電現金+儲值金,現金+儲值金,258751,33500,加總3
桃園,清潔+水洗+收納現金+儲值金,現金+儲值金,1091627,565089,加總3
新竹,清潔,儲值金,138600,62400,加總1
新竹,清潔,現金收入,98730,67530,加總1
新竹,冷氣,儲值金,0,0,加總1
新竹,冷氣,現金收入,0,0,加總1
新竹,洗衣機,儲值金,0,0,加總1
新竹,洗衣機,現金收入,0,0,加總1
新竹,水洗,儲值金,0,0,加總1
新竹,水洗,現金收入,0,0,加總1
新竹,收納,儲值金,0,0,加總1
新竹,收納,現金收入,0,0,加總1
新竹,儲值金,儲值金,0,0,加總1
新竹,儲值金,現金收入,0,0,加總1
新竹,清潔現金+儲值金,現金+儲值金,237330,129930,加總2
新竹,家電現金+儲值金,現金+儲值金,0,0,加總2
新竹,水洗/收納現金+儲值金,現金+儲值金,0,0,加總2
新竹,家電現金+儲值金,現金+儲值金,0,0,加總3
新竹,清潔+水洗+收納現金+儲值金,現金+儲值金,237330,129930,加總3
高雄,清潔,儲值金,29400,43150,加總1
高雄,清潔,現金收入,65830,4400,加總1
高雄,冷氣,儲值金,0,0,加總1
高雄,冷氣,現金收入,11500,0,加總1
高雄,洗衣機,儲值金,0,0,加總1
高雄,洗衣機,現金收入,0,0,加總1
高雄,水洗,儲值金,0,0,加總1
高雄,水洗,現金收入,0,0,加總1
高雄,收納,儲值金,0,0,加總1
高雄,收納,現金收入,0,0,加總1
高雄,儲值金,儲值金,0,0,加總1
高雄,儲值金,現金收入,0,0,加總1
高雄,清潔現金+儲值金,現金+儲值金,95230,47550,加總2
高雄,家電現金+儲值金,現金+儲值金,11500,0,加總2
高雄,水洗/收納現金+儲值金,現金+儲值金,0,0,加總2
高雄,家電現金+儲值金,現金+儲值金,11500,0,加總3
高雄,清潔+水洗+收納現金+儲值金,現金+儲值金,95230,47550,加總3
