城市,類別,收入類型,本月加總,次月加總,加總類型
台北,清潔,儲值金,1237800,1190180,加總1
台北,清潔,現金收入,1905500,1009920,加總1
台北,冷氣,儲值金,0,0,加總1
台北,冷氣,現金收入,0,0,加總1
台北,洗衣機,儲值金,0,0,加總1
台北,洗衣機,現金收入,0,0,加總1
台北,水洗,儲值金,4600,0,加總1
台北,水洗,現金收入,20400,0,加總1
台北,收納,儲值金,0,0,加總1
台北,收納,現金收入,0,0,加總1
台北,儲值金,儲值金,0,0,加總1
台北,儲值金,現金收入,1440000,0,加總1
台北,清潔現金+儲值金,現金+儲值金,3143300,2200100,加總2
台北,家電現金+儲值金,現金+儲值金,0,0,加總2
台北,水洗/收納現金+儲值金,現金+儲值金,25000,0,加總2
台北,家電現金+儲值金,現金+儲值金,0,0,加總3
台北,清潔+水洗+收納現金+儲值金,現金+儲值金,3168300,2200100,加總3
台中,清潔,儲值金,145300,108000,加總1
台中,清潔,現金收入,199100,46200,加總1
台中,冷氣,儲值金,0,0,加總1
台中,冷氣,現金收入,0,0,加總1
台中,洗衣機,儲值金,0,0,加總1
台中,洗衣機,現金收入,0,0,加總1
台中,水洗,儲值金,0,0,加總1
台中,水洗,現金收入,0,0,加總1
台中,收納,儲值金,0,0,加總1
台中,收納,現金收入,0,0,加總1
台中,儲值金,儲值金,0,0,加總1
台中,儲值金,現金收入,160000,0,加總1
台中,清潔現金+儲值金,現金+儲值金,344400,154200,加總2
台中,家電現金+儲值金,現金+儲值金,0,0,加總2
台中,水洗/收納現金+儲值金,現金+儲值金,0,0,加總2
台中,家電現金+儲值金,現金+儲值金,0,0,加總3
台中,清潔+水洗+收納現金+儲值金,現金+儲值金,344400,154200,加總3
桃園,清潔,儲值金,404000,329400,加總1
桃園,清潔,現金收入,655827,306988,加總1
桃園,冷氣,儲值金,0,0,加總1
桃園,冷氣,現金收入,202750,34000,加總1
桃園,洗衣機,儲值金,6001,0,加總1
桃園,洗衣機,現金收入,50000,6000,加總1
桃園,水洗,儲值金,0,0,加總1
桃園,水洗,現金收入,37000,0,加總1
桃園,收納,儲值金,0,0,加總1
桃園,收納,現金收入,0,0,加總1
桃園,儲值金,儲值金,0,0,加總1
桃園,儲值金,現金收入,180000,0,加總1
桃園,清潔現金+儲值金,現金+儲值金,1059827,636388,加總2
桃園,家電現金+儲值金,現金+儲值金,258751,40000,加總2
桃園,水洗/收納現金+儲值金,現金+儲值金,37000,0,加總2
桃園,家電現金+儲值金,現金+儲值金,258751,40000,加總3
桃園,清潔+水洗+收納現金+儲值金,現金+儲值金,1096827,636388,加總3
新竹,清潔,儲值金,138600,66000,加總1
新竹,清潔,現金收入,98730,67530,加總1
新竹,冷氣,儲值金,0,0,加總1
新竹,冷氣,現金收入,0,0,加總1
新竹,洗衣機,儲值金,0,0,加總1
新竹,洗衣機,現金收入,0,0,加總1
新竹,水洗,儲值金,0,0,加總1
新竹,水洗,現金收入,0,0,加總1
新竹,收納,儲值金,0,0,加總1
新竹,收納,現金收入,0,0,加總1
新竹,儲值金,儲值金,0,0,加總1
新竹,儲值金,現金收入,0,0,加總1
新竹,清潔現金+儲值金,現金+儲值金,237330,133530,加總2
新竹,家電現金+儲值金,現金+儲值金,0,0,加總2
新竹,水洗/收納現金+儲值金,現金+儲值金,0,0,加總2
新竹,家電現金+儲值金,現金+儲值金,0,0,加總3
新竹,清潔+水洗+收納現金+儲值金,現金+儲值金,237330,133530,加總3
高雄,清潔,儲值金,29400,57200,加總1
高雄,清潔,現金收入,65830,37600,加總1
高雄,冷氣,儲值金,0,0,加總1
高雄,冷氣,現金收入,11500,0,加總1
高雄,洗衣機,儲值金,0,0,加總1
高雄,洗衣機,現金收入,0,2000,加總1
高雄,水洗,儲值金,0,0,加總1
高雄,水洗,現金收入,0,0,加總1
高雄,收納,儲值金,0,0,加總1
高雄,收納,現金收入,0,0,加總1
高雄,儲值金,儲值金,0,0,加總1
高雄,儲值金,現金收入,0,0,加總1
高雄,清潔現金+儲值金,現金+儲值金,95230,94800,加總2
高雄,家電現金+儲值金,現金+儲值金,11500,2000,加總2
高雄,水洗/收納現金+儲值金,現金+儲值金,0,0,加總2
高雄,家電現金+儲值金,現金+儲值金,11500,2000,加總3
高雄,清潔+水洗+收納現金+儲值金,現金+儲值金,95230,94800,加總3
